Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 39,NCCC[C@@H](C(=O)NCC(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@H](Cc2ccc(cc2)OCC)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(=O)N)[C@H](O)C)[C@H](CC)C,C43H67N11O12S2,994.19,68,6,0.63,21,13,11,274.38,416.27,3.74,-1.89,-5.33,-4.35,-0.37,-1.64,-3.49,0.32,0.000322,Soluble,-6.33,0.000463,4.66e-07,Poorly soluble,-6.94,0.00011399999999999999,1.15e-07,Poorly soluble,Low,No,Yes,No,No,No,No,No,-13.71,3,4,2,1,5,0.17,0,1,2,8.56
Molecule 40,OC[C@@H](c1ccccc1)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C(C)C,C20H30NO3,332.46,24,6,0.65,6,3,1,99.99,46.53,-0.46,2.65,2.47,-0.97,2.7,1.28,-3.36,0.145,0.000437,Soluble,-3.28,0.175,0.0005269999999999999,Soluble,-4.45,0.0118,3.5600000000000005e-05,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.45,0,0,0,0,0,0.55,0,1,0,4.7
Molecule 41,CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@@H](C[C@@H]2OC)C)C(=O)C(=O)N2[C@H](C(=O)O[C@@H]([C@@H]([C@H](CC1=O)O)C)/C(=C/[C@@H]1CC[C@@H]([C@@H](C1)OC)Cl)/C)CCCC2,C43H68ClNO11,810.45,56,0,0.81,6,11,2,219.6,158.13,5.95,5.74,5.34,1.61,4.14,4.55,-8.09,6.66e-06,8.22e-09,Poorly soluble,-8.83,1.2e-06,1.4800000000000005e-09,Poorly soluble,-5.67,0.0017399999999999998,2.15e-06,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-7.17,2,3,1,1,4,0.17,0,3,2,9.66
Molecule 42,COC(=O)[C@@H]1[C@H]2C[C@H](c3cc4[nH]c5c(c4cc3OC)CCN3[C@@H]4[C@]5(C[C@H](C[C@@H]4CC)C3)C(=O)OC)c3c(C[C@H]1N(C/C/2=C/C)C)c1ccccc1[nH]3,C43H52N4O5,704.9,52,18,0.53,7,7,2,211.78,99.89,5.59,6.07,5.73,4.01,6.89,5.66,-7.83,1.05e-05,1.48e-08,Poorly soluble,-7.95,7.95e-06,1.1299999999999999e-08,Poorly soluble,-9.87,9.55e-08,1.36e-10,Poorly soluble,High,No,No,No,No,No,No,Yes,-6.29,1,4,0,0,3,0.55,0,2,2,7.99
Molecule 43,CN(C[C@@H]1CCCC[C@@]1(O)c1cccc(c1)O[C@H]1O[C@@H](C(=O)O)[C@@H]([C@H]([C@@H]1O)O)O)C,C21H31NO8,425.47,30,6,0.67,6,9,5,106.45,139.92,2.08,-1.62,-0.21,-0.39,-0.35,-0.1,-1.21,26.3,0.0618,Very soluble,-0.81,66.1,0.155,Very soluble,-1.03,39.9,0.0938,Soluble,Low,No,No,No,No,No,No,No,-10.05,0,0,0,1,0,0.55,0,0,1,5.05
Molecule 44,CN(C[C@H]1CCCC[C@]1(O)c1cccc(c1)O[C@H]1O[C@@H](C(=O)O)[C@@H]([C@H]([C@@H]1O)O)O)C,C21H31NO8,425.47,30,6,0.67,6,9,5,106.45,139.92,1.66,-1.62,-0.21,-0.39,-0.35,-0.18,-1.21,26.3,0.0618,Very soluble,-0.81,66.1,0.155,Very soluble,-1.03,39.9,0.0938,Soluble,Low,No,No,No,No,No,No,No,-10.05,0,0,0,1,0,0.55,0,0,1,5.05
Molecule 45,O=C1NC(=O)[C@H](S1)Cc1ccc(cc1)OCCN(c1ccc(cn1)O[C@H]1O[C@@H](C(=O)O)[C@@H]([C@H]([C@@H]1O)O)O)C,C24H27N3O10S,549.55,38,12,0.42,10,11,5,136.39,213.28,1.01,1.2,-0.62,-1.03,-0.47,0.02,-3.58,0.146,0.000265,Soluble,-5.28,0.00292,5.3e-06,Moderately soluble,-2.89,0.71,0.0012900000000000001,Soluble,Low,No,Yes,No,No,No,No,Yes,-8.8,2,3,1,1,2,0.11,0,1,2,5.43
Molecule 46,O=C1NC(=O)[C@@H](S1)Cc1ccc(cc1)OCCN(c1ccc(cn1)O[C@H]1O[C@@H](C(=O)O)[C@@H]([C@H]([C@@H]1O)O)O)C,C24H27N3O10S,549.55,38,12,0.42,10,11,5,136.39,213.28,1.4,1.2,-0.62,-1.03,-0.47,0.1,-3.58,0.146,0.000265,Soluble,-5.28,0.00292,5.3e-06,Moderately soluble,-2.89,0.71,0.0012900000000000001,Soluble,Low,No,Yes,No,No,No,No,Yes,-8.8,2,3,1,1,2,0.11,0,1,2,5.43
Molecule 47,O=CC[C@H]1C[C@@H](C)[C@@H](O)C=CC=CC[C@H](OC(=O)C[C@H]([C@@H]([C@H]1O[C@@H]1O[C@H](C)[C@H]([C@@H]([C@H]1O)N(C)C)O[C@@H]1O[C@@H](C)[C@@H]([C@](C1)(C)O)OC(=O)CC(C)C)OC)OC(=O)C)C,C42H69NO15,827.99,58,0,0.81,14,16,3,212.62,206.05,5.23,2.39,3.01,-0.06,1.23,2.36,-5.56,0.00231,2.78e-06,Moderately soluble,-6.36,0.000363,4.38e-07,Poorly soluble,-2.17,5.57,0.00673,Soluble,Low,No,No,No,No,No,No,No,-9.65,2,3,2,1,3,0.17,0,2,2,9.39
Molecule 48,CO[C@H]1C=CO[C@@]2(C)Oc3c(C2=O)c2c(c(c3C)O)c(O)c(c3c2nc2n3ccc(c2)C)NC(=O)C(=CC=C[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)C,C43H51N3O11,785.88,57,17,0.44,3,12,5,219.23,198.38,2.96,6.89,5.59,1.51,2.99,3.99,-9.08,6.6e-07,8.400000000000002e-10,Poorly soluble,-10.87,1.07e-08,1.3599999999999999e-11,Insoluble,-6.86,0.00010800000000000001,1.37e-07,Poorly soluble,Low,No,Yes,No,No,No,No,No,-6.2,2,3,1,1,4,0.17,0,1,2,8.42
Molecule 49,CCOC(=O)C1=CC2=C3[C@]1(CC)[C@@H](C)C1=CC4=NC(=Cc5n([Sn](N31)(Cl)Cl)c(C=C1N=C2C(=C1CC)C)c(c5CC)C)C(=C4CC)C,C37H42Cl2N4O2Sn,764.36,46,5,0.43,7,4,0,205.05,59.19,0.0,8.34,7.82,4.12,8.27,5.71,-9.45,2.7e-07,3.5299999999999997e-10,Poorly soluble,-9.45,2.72e-07,3.56e-10,Poorly soluble,-10.14,5.5e-08,7.19e-11,Insoluble,Low,No,Yes,No,No,No,No,No,-5.04,1,4,0,1,2,0.55,0,0,2,8.43
Molecule 50,C[C@H](C[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C)Cc1cc(C)cc(c1O)n1nc2c(n1)cccc2,C24H39N3O3Si3,501.84,33,15,0.5,9,5,1,144.66,69.4,5.51,8.09,6.39,2.69,0.85,4.71,-7.79,8.13e-06,1.62e-08,Poorly soluble,-9.4,1.98e-07,3.95e-10,Poorly soluble,-7.61,1.23e-05,2.45e-08,Poorly soluble,High,No,No,No,No,No,No,No,-3.62,1,4,0,1,1,0.55,0,1,3,4.65
Molecule 51,CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@]1(C)C[C@H](O)[C@]1([C@H]2C[C@@H](C2=CC(=O)C=C[C@]12C)F)F)C(=O)CCl,C25H31ClF2O5,484.96,33,0,0.72,5,7,1,120.19,80.67,1.94,3.75,4.89,3.28,4.63,3.7,-4.88,0.0064,1.32e-05,Moderately soluble,-5.14,0.0035399999999999997,7.299999999999999e-06,Moderately soluble,-5.0,0.0048200000000000005,9.93e-06,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-6.6,0,1,0,0,0,0.55,0,1,2,5.82
Molecule 52,CCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@]1(C)C[C@@H](O)[C@]1([C@H]2C[C@@H](C2=CC(=O)C=C[C@]12C)F)F)C(=O)CCl,C25H31ClF2O5,484.96,33,0,0.72,5,7,1,120.19,80.67,2.87,3.75,4.89,3.28,4.63,3.89,-4.88,0.0064,1.32e-05,Moderately soluble,-5.14,0.0035399999999999997,7.299999999999999e-06,Moderately soluble,-5.0,0.0048200000000000005,9.93e-06,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-6.6,0,1,0,0,0,0.55,0,1,2,5.82
Molecule 53,OC[C@H]([C@]1(O)C[C@H](O[C@@H]2C[C@H](N)[C@H]([C@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC)O,C27H31NO11,545.54,39,12,0.48,5,12,7,133.62,209.23,2.61,1.29,-0.53,-2.03,0.85,0.44,-3.93,0.0637,0.000117,Soluble,-5.28,0.0028399999999999996,5.2e-06,Moderately soluble,-2.98,0.565,0.0010400000000000001,Soluble,Low,No,Yes,No,No,No,No,No,-8.71,3,3,1,1,3,0.17,1,1,1,5.98
Molecule 54,OC[C@H]([C@]1(O)C[C@H](O[C@@H]2C[C@H](N)[C@H]([C@@H](O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC)O,C27H31NO11,545.54,39,12,0.48,5,12,7,133.62,209.23,2.69,1.29,-0.53,-2.03,0.85,0.46,-3.93,0.0637,0.000117,Soluble,-5.28,0.0028399999999999996,5.2e-06,Moderately soluble,-2.98,0.565,0.0010400000000000001,Soluble,Low,No,Yes,No,No,No,No,No,-8.71,3,3,1,1,3,0.17,1,1,1,5.98
Molecule 55,C#C[C@]1(O)CC[C@H]2[C@@]1(C)CC[C@@H]1[C@H]2CCc2c1cc(O)c(c2)O,C20H24O3,312.4,23,6,0.6,0,3,3,90.86,60.69,2.67,3.31,3.4,3.29,3.45,3.22,-4.06,0.0275,8.809999999999999e-05,Moderately soluble,-4.26,0.0171,5.4899999999999986e-05,Moderately soluble,-3.46,0.109,0.000348,Soluble,High,Yes,Yes,No,No,Yes,Yes,No,-5.86,0,0,0,0,0,0.55,1,2,0,4.06
Molecule 56,CCC[C@@H](C(=O)OCC)N[C@H](C(=O)N1[C@H]2CCCC[C@H]2C[C@@H]1C(=O)O[C@@H]1O[C@@H](C(=O)O)[C@@H]([C@H]([C@@H]1O)O)O)C,C25H40N2O11,544.59,38,0,0.84,13,12,5,134.67,192.16,3.3,-1.07,-1.09,-0.82,-0.68,-0.07,-1.68,11.3,0.0207,Very soluble,-2.48,1.82,0.0033399999999999997,Soluble,0.01,559.0,1.03,Soluble,Low,No,No,No,No,No,No,No,-10.38,2,4,2,1,2,0.17,0,1,2,6.11
Molecule 57,CO[C@H]1C[C@H](O[C@H]2[C@@H](C)C=CC=C3CO[C@H]4[C@]3(O)[C@@H](C=C([C@H]4O)C)C(=O)O[C@H]3C[C@@H](CC=C2C)O[C@]2(C3)CC[C@@H]([C@H](O2)[C@@H](CC)C)C)O[C@H]([C@@H]1O[C@H]1C[C@H](OC)[C@H]([C@@H](O1)C)O)C,C48H74O14,875.09,62,0,0.81,8,14,3,230.77,170.06,6.73,6.34,5.6,1.25,2.72,4.53,-8.73,1.62e-06,1.85e-09,Poorly soluble,-9.7,1.74e-07,1.99e-10,Poorly soluble,-3.89,0.113,0.000129,Soluble,Low,No,Yes,No,No,No,No,No,-7.14,2,4,1,1,4,0.17,0,1,3,10.0
Molecule 58,CO[Si](O[Si](C)(C)C)(C)C,C6H18O2Si2,178.38,10,0,1.0,3,2,0,48.86,18.46,2.91,2.51,2.19,0.61,-1.64,1.31,-2.33,0.836,0.00469,Soluble,-2.54,0.51,0.00286,Soluble,-1.89,2.29,0.0129,Soluble,High,Yes,No,No,No,No,No,No,-5.61,0,0,0,0,1,0.55,0,1,1,4.02
Molecule 59,O=CC[C@H]1C[C@@H](C)[C@@H](O)C=CC=CC[C@H](OC(=O)C[C@H]([C@@H]([C@H]1O[C@@H]1O[C@H](C)[C@H]([C@@H]([C@H]1O)N(C)C)O[C@@H]1O[C@@H](C)[C@@H]([C@](C1)(C)O)OC(=O)CC)OC)OC(=O)CC)C,C41H67NO15,813.97,57,0,0.8,14,16,3,207.81,206.05,5.21,2.07,2.77,-0.23,0.98,2.16,-5.27,0.0044,5.41e-06,Moderately soluble,-6.03,0.000766,9.41e-07,Poorly soluble,-2.17,5.57,0.006840000000000001,Soluble,Low,No,No,No,No,No,No,No,-9.8,2,3,2,1,3,0.17,0,2,2,9.26
Molecule 60,CCCCCCC(=O)O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=NNC(=O)C(c3ccccc3)(c3ccccc3)O)CC[C@]12C,C40H52N2O4,624.85,46,12,0.57,12,5,2,185.25,87.99,5.62,8.66,8.13,5.69,7.96,7.21,-8.57,1.68e-06,2.6899999999999996e-09,Poorly soluble,-10.39,2.57e-08,4.1200000000000004e-11,Insoluble,-10.48,2.06e-08,3.3e-11,Insoluble,Low,No,Yes,No,No,No,No,Yes,-3.96,2,4,1,1,2,0.17,0,1,3,6.93
Molecule 61,CNn1cc(C(=O)O)c(=O)c2c1cc(N1CCN(CC1)C)c(c2)F,C16H19FN4O3,334.35,24,10,0.38,3,5,2,96.43,77.81,1.64,0.23,0.23,1.32,0.6,0.8,-2.17,2.27,0.006790000000000001,Soluble,-1.42,12.6,0.0377,Very soluble,-3.02,0.32299999999999995,0.0009660000000000001,Soluble,High,No,Yes,No,No,No,No,No,-8.18,0,0,0,0,0,0.55,0,0,0,2.71
Molecule 62,N#CC(c1ccccc1)(c1ccccc1)CCN1CCC(CC1)(N1CCCCC1)C(=O)N,C27H34N4O,430.59,32,12,0.48,7,4,1,135.16,73.36,3.66,3.91,2.93,2.64,3.97,3.42,-4.79,0.00701,1.63e-05,Moderately soluble,-5.15,0.00305,7.09e-06,Moderately soluble,-6.78,7.15e-05,1.66e-07,Poorly soluble,High,Yes,Yes,No,No,No,Yes,Yes,-6.15,0,1,0,0,0,0.55,0,0,2,3.8
Molecule 63,COc1ccc(cc1)c1sc2c(c1Oc1ccc(cc1)OCCN1CCCCC1)ccc(c2)O,C28H29NO4S,475.6,34,21,0.29,8,5,1,142.32,79.4,4.96,6.6,6.56,3.81,6.66,5.72,-6.88,6.330000000000001e-05,1.33e-07,Poorly soluble,-8.07,4.07e-06,8.56e-09,Poorly soluble,-8.79,7.68e-07,1.61e-09,Poorly soluble,Low,No,Yes,No,Yes,No,Yes,No,-4.52,0,2,0,1,1,0.55,0,0,3,3.9
Molecule 64,O=C(c1ccc(s1)[N+](=O)[O-])N/N=C/C=C/c1ccc(o1)[N+](=O)[O-],C12H8N4O6S,336.28,23,10,0.0,7,7,1,85.33,174.48,1.24,2.7,2.48,0.08,-0.69,1.16,-3.49,0.11,0.000327,Soluble,-6.02,0.000323,9.61e-07,Poorly soluble,-2.31,1.64,0.00489,Soluble,Low,No,No,Yes,Yes,No,No,No,-6.43,0,0,1,1,1,0.55,0,3,0,3.44
Molecule 65,OP(=O)(C(P(=O)(O)O)NC1CCCCCC1)O,C8H19NO6P2,287.19,17,0,1.0,4,7,5,63.23,146.71,-0.74,-3.52,0.94,-1.09,-2.26,-1.33,0.86,2090.0,7.26,Highly soluble,1.02,3010.0,10.5,Highly soluble,0.57,1070.0,3.74,Soluble,Low,No,No,No,No,No,No,No,-10.55,0,0,1,1,1,0.56,0,1,0,3.53
Molecule 66,O[C@H]1CC[C@@H]2[C@]34[C@@H]1Oc1c4c(C[C@H]2N(CC3)C)ccc1O,C17H21NO3,287.35,21,6,0.65,0,4,2,82.74,52.93,2.31,1.84,1.04,1.83,1.75,1.75,-2.99,0.293,0.0010199999999999999,Soluble,-2.57,0.77,0.00268,Soluble,-2.54,0.838,0.00292,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.75,0,0,0,0,0,0.55,0,0,0,4.56
Molecule 67,O=C1CC[C@@H]2[C@]34[C@@H]1Oc1c4c(C[C@H]2N(CC3)C)ccc1OS(=O)(=O)O,C17H19NO6S,365.4,25,6,0.59,2,7,1,91.98,101.52,1.69,-1.03,1.81,1.16,0.67,0.86,-1.5,11.5,0.0315,Very soluble,-0.61,88.8,0.243,Very soluble,-2.85,0.516,0.00141,Soluble,High,No,Yes,No,No,No,No,No,-9.26,0,0,0,0,0,0.55,0,1,1,4.67
Molecule 68,CN[C@H](CCC=C(C)C)C,C9H19N,141.25,10,0,0.78,4,1,1,47.7,12.03,2.8,2.55,2.34,2.39,1.9,2.4,-2.06,1.24,0.008740000000000001,Soluble,-2.45,0.501,0.00355,Soluble,-2.4,0.56,0.00396,Soluble,High,Yes,No,No,No,No,No,No,-5.35,0,1,0,0,2,0.55,0,1,1,2.29
Molecule 69,OC[C@H](COc1ccccc1C)O,C10H14O3,182.22,13,6,0.4,4,3,2,49.84,49.69,1.77,1.41,0.73,0.95,1.58,1.29,-1.94,2.11,0.0116,Very soluble,-2.06,1.59,0.00875,Soluble,-2.23,1.07,0.00585,Soluble,High,Yes,No,No,No,No,No,No,-6.41,0,0,0,0,1,0.55,0,0,1,2.18
Molecule 70,CC[C@H]1NC(=O)c2c(N1)cc(c(c2)S(=O)(=O)N)Cl,C10H12ClN3O3S,289.74,18,6,0.3,2,4,3,74.29,109.67,1.09,1.21,1.01,0.12,0.3,0.74,-2.51,0.889,0.00307,Soluble,-3.11,0.225,0.000776,Soluble,-3.68,0.0608,0.00021,Soluble,High,No,No,No,No,No,No,No,-7.21,0,0,0,0,0,0.55,0,0,0,2.82
Molecule 71,CCN(C(=O)c1cccc(c1)C)CC,C12H17NO,191.27,14,6,0.42,4,1,0,58.92,20.31,2.57,2.02,2.48,2.72,2.49,2.46,-2.35,0.851,0.00445,Soluble,-2.07,1.61,0.008440000000000001,Soluble,-3.66,0.0422,0.000221,Soluble,High,Yes,No,No,No,No,No,No,-6.03,0,0,0,0,1,0.55,0,0,1,1.13
Molecule 72,O=C1OCC(=C1c1ccccc1)c1ccc(cc1)S(=O)(=O)C,C17H14O4S,314.36,22,12,0.12,3,4,0,83.69,68.82,2.17,2.27,3.64,2.62,3.27,2.79,-3.42,0.11800000000000001,0.000376,Soluble,-3.35,0.14,0.00044500000000000003,Soluble,-5.92,0.000381,1.21e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.61,0,0,0,0,0,0.55,0,1,0,2.82
Molecule 73,COc1cnc(nc1)NS(=O)(=O)c1ccc(cc1)N,C11H12N4O3S,280.3,19,12,0.09,4,5,2,70.04,115.58,1.26,0.41,1.77,-0.84,-0.24,0.47,-2.04,2.56,0.00913,Soluble,-2.4,1.11,0.00395,Soluble,-3.91,0.0342,0.000122,Soluble,High,No,No,No,No,No,No,No,-7.72,0,0,0,0,0,0.55,0,1,0,2.56
Molecule 74,Sc1cccc[n+]1[O-],C5H5NOS,127.16,8,6,0.0,0,1,0,34.86,64.26,1.02,0.34,0.61,0.83,0.43,0.65,-1.4,5.09,0.04,Very soluble,-1.25,7.09,0.0558,Very soluble,-0.7,25.4,0.2,Soluble,High,No,No,No,No,No,No,No,-6.83,0,3,0,0,1,0.55,0,3,1,1.51
Molecule 75,OC(=O)Cc1ccc2c(c1)/C(=C\CC[N+](C)(C)[O-])/c1ccccc1CO2,C21H23NO4,353.41,26,12,0.29,5,4,1,102.59,75.96,1.86,3.28,3.45,1.02,3.12,2.55,-4.11,0.0275,7.780000000000001e-05,Moderately soluble,-4.55,0.00996,2.8199999999999998e-05,Moderately soluble,-6.04,0.000325,9.2e-07,Poorly soluble,High,Yes,Yes,No,No,No,No,No,-6.13,0,0,0,0,0,0.56,0,2,1,3.9
Molecule 76,OCC(=O)[C@@]1(O)CC[C@H]2[C@]1(C)C[C@H](O)[C@@H]1[C@@H]2C[C@H](C2=CC(=O)CC[C@]12C)O,C21H30O6,378.46,27,0,0.81,2,6,4,98.7,115.06,1.14,0.64,0.75,0.58,1.58,0.94,-2.46,1.32,0.00349,Soluble,-2.63,0.884,0.00234,Soluble,-1.82,5.78,0.0153,Soluble,High,No,Yes,No,No,No,No,No,-8.15,0,0,0,0,0,0.55,0,0,1,5.37
Molecule 77,C[C@@H]1NCCO[C@H]1c1ccccc1,C11H15NO,177.24,13,6,0.45,1,2,1,56.32,21.26,2.17,1.38,1.03,1.46,2.2,1.65,-2.08,1.46,0.00824,Soluble,-1.43,6.59,0.0372,Very soluble,-3.22,0.106,0.0006,Soluble,High,Yes,No,No,No,No,No,No,-6.4,0,0,0,0,1,0.55,0,0,1,2.42
Molecule 78,OCC([N+](=O)[O-])(CO)Br,C3H6BrNO4,199.99,9,0,1.0,3,4,2,34.87,86.28,0.21,-0.63,-0.66,-0.58,-1.65,-0.66,-0.49,65.5,0.327,Very soluble,-0.71,39.1,0.195,Very soluble,0.17,298.0,1.49,Soluble,High,No,No,No,No,No,No,No,-7.97,0,3,0,0,2,0.55,0,4,1,2.45
Molecule 79,CC[N+]([C@H](CC(c1ccccc1)c1ccccc1)C)(C)C,C20H28N,282.44,21,12,0.4,6,0,0,91.92,0.0,0.06,4.85,4.69,1.1,4.59,3.06,-4.67,0.00599,2.12e-05,Moderately soluble,-4.58,0.0073599999999999985,2.61e-05,Moderately soluble,-7.42,1.07e-05,3.79e-08,Poorly soluble,Low,No,Yes,No,No,No,Yes,No,-4.58,0,0,0,0,1,0.55,0,1,1,2.71
Molecule 80,CC[C@@]1(CCC(=O)NC1=O)c1ccccc1,C13H15NO2,217.26,16,6,0.38,2,2,1,65.14,46.17,1.75,1.9,1.39,2.18,2.86,2.02,-2.53,0.642,0.00295,Soluble,-2.49,0.6990000000000001,0.00322,Soluble,-4.4,0.00861,3.96e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.28,0,0,0,0,0,0.55,0,1,1,2.09
Molecule 81,O=CN[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@H](NC(=O)C(N)(C)C)Cc1c[nH]c2c1cccc2,C26H30N6O3,474.55,35,18,0.27,12,4,6,135.01,144.9,1.29,1.81,1.84,1.05,3.43,1.88,-3.51,0.146,0.000308,Soluble,-4.47,0.016,3.37e-05,Moderately soluble,-7.91,5.87e-06,1.24e-08,Poorly soluble,Low,No,No,No,No,No,Yes,Yes,-7.91,1,1,2,1,1,0.55,0,2,2,4.02
Molecule 82,CC[C@H](C(COC(=O)N)(COC(=O)N)C)C,C10H20N2O4,232.28,16,0,0.8,8,4,2,58.69,104.64,1.97,1.39,1.23,0.72,-0.04,1.05,-1.63,5.47,0.0236,Very soluble,-3.19,0.15,0.000644,Soluble,-1.02,22.1,0.0951,Soluble,High,No,No,No,No,No,No,No,-6.73,0,0,0,0,0,0.55,0,1,2,2.81
Molecule 83,C[C@H](Cc1ccc2c(c1)OCO2)NC[C@H](c1ccc(c(c1)O)O)O,C18H21NO5,331.36,24,12,0.33,6,6,4,89.2,91.18,2.61,2.13,1.76,1.11,2.54,2.03,-3.21,0.204,0.000616,Soluble,-3.68,0.0698,0.00021099999999999998,Soluble,-4.26,0.0182,5.479999999999999e-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-6.81,0,0,0,0,0,0.55,1,1,0,3.42
Molecule 84,OC(=O)CNC(=O)[C@H](SC(=O)c1cccs1)C,C10H11NO4S2,273.33,17,5,0.3,7,4,2,66.11,137.01,1.5,1.67,1.21,-0.12,1.94,1.24,-2.34,1.24,0.00455,Soluble,-4.16,0.0189,6.9e-05,Moderately soluble,-1.94,3.14,0.0115,Soluble,High,No,No,No,No,No,No,No,-6.78,0,0,0,1,0,0.56,0,1,0,3.08
Molecule 85,OCNC(=O)N([C@H]1C(=O)N(C(=O)N1CO)CO)CO,C8H14N4O7,278.22,19,0,0.62,7,7,5,63.8,153.88,0.05,-2.47,-4.37,-3.07,-4.42,-2.86,0.45,790.0,2.84,Highly soluble,-0.22,168.0,0.603,Very soluble,2.42,72300.0,260.0,Soluble,Low,No,No,No,No,No,No,No,-9.75,1,1,1,1,2,0.55,0,2,0,3.12
Molecule 86,OC(=O)CCCCCCNC1c2ccccc2CCc2c1cccc2,C22H27NO2,337.46,25,12,0.41,8,3,2,101.94,49.33,3.34,2.11,4.17,3.76,4.91,3.66,-3.09,0.275,0.0008150000000000001,Soluble,-2.78,0.564,0.0016699999999999998,Soluble,-7.34,1.56e-05,4.61e-08,Poorly soluble,High,Yes,Yes,No,No,No,Yes,No,-6.86,0,0,0,0,0,0.55,0,0,1,3.42
Molecule 87,CCCCCc1cc(O)c2c(c1)OC([C@H]1[C@H]2C=C(C)[C@H](C1)O)(C)C,C21H30O3,330.46,24,6,0.62,4,3,2,99.07,49.69,3.6,5.86,4.71,3.51,4.51,4.44,-5.5,0.0010400000000000001,3.15e-06,Moderately soluble,-6.68,6.97e-05,2.1100000000000002e-07,Poorly soluble,-5.12,0.00253,7.66e-06,Moderately soluble,High,Yes,No,No,No,Yes,Yes,No,-4.16,0,0,0,0,1,0.55,0,1,1,4.59
Molecule 88,CCCCCc1cc(O)c2c(c1)OC([C@H]1[C@@H]2C=C(C)CC1)(C)C,C21H30O2,314.46,23,6,0.62,4,2,1,97.91,29.46,4.06,6.97,5.74,4.39,5.41,5.31,-6.11,0.000244,7.77e-07,Poorly soluble,-7.4,1.24e-05,3.96e-08,Poorly soluble,-5.93,0.00036899999999999997,1.17e-06,Moderately soluble,High,Yes,No,No,Yes,Yes,Yes,No,-3.27,1,1,0,0,1,0.55,0,1,1,4.27
Molecule 89,CC[C@@H](C(COC(=O)N)(COC(=O)N)C)C,C10H20N2O4,232.28,16,0,0.8,8,4,2,58.69,104.64,1.94,1.39,1.23,0.72,-0.04,1.05,-1.63,5.47,0.0236,Very soluble,-3.19,0.15,0.000644,Soluble,-1.02,22.1,0.0951,Soluble,High,No,No,No,No,No,No,No,-6.73,0,0,0,0,0,0.55,0,1,2,2.81
Molecule 90,N[C@@H]1CC[C@H](c2c1cccc2)c1ccc(c(c1)Cl)Cl,C16H15Cl2N,292.2,19,12,0.25,1,1,1,81.09,26.02,2.92,4.27,4.59,4.47,4.59,4.17,-4.74,0.00528,1.8100000000000006e-05,Moderately soluble,-4.53,0.00865,2.9600000000000005e-05,Moderately soluble,-6.43,0.000109,3.7299999999999997e-07,Poorly soluble,High,Yes,Yes,Yes,Yes,No,Yes,No,-5.05,1,0,0,0,1,0.55,0,0,1,3.12
Molecule 91,Clc1ccc(cc1)c1ccccc1NC(=O)c1cccnc1Cl,C18H12Cl2N2O,343.21,23,18,0.0,4,2,1,93.91,41.99,2.7,4.9,5.12,3.76,4.9,4.28,-5.37,0.00146,4.27e-06,Moderately soluble,-5.52,0.0010400000000000001,3.04e-06,Moderately soluble,-8.26,1.9e-06,5.550000000000001e-09,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-4.91,0,0,0,0,0,0.55,0,1,1,2.22
